base,id_formula,idcolor,descripcion,formula_1l
ACCENT,98886,63A1A,BLUE VASE,B=10 | D=62 | E=58 | KX=16
ACCENT,98897,64A1A,CYPRESS BLUE,C=6 | E=108 | KX=12 | L=18
ACCENT,98908,65A1A,BLACK MAGIC,B=102 | D=38 | KX=4
ACCENT,98919,66A1A,MARINE BLUE,D=32 | E=64 | KX=24
ACCENT,98930,67A1A,CONTINENTAL BLUE,E=108 | KX=36
ACCENT,98941,68A1A,BLUE FURY,E=90 | KX=30 | V=6
ACCENT,98942,68A1A SYC,68A1A SYC,C=0.5 | E=90 | KX=30 | M=11
ACCENT,98963,69A1A,LEGENDARY BLUE,E=78 | KX=30 | V=18
ACCENT,98964,69A1A SYC,69A1A SYC,E=76 | KX=30 | M=29
ACCENT,98985,6A1A SYC,6A1A SYC,F=3.5 | KX=3.5 | SS=146 | T=3.5
ACCENT,98989,70A1A,MOSAIC BLUE,E=102 | KX=18 | V=24
ACCENT,98990,70A1A SYC,MOSAIC BLUE,E=102 | KX=18 | M=40
ACCENT,99013,7101,Purple Passion,B=8 | KX=9 | M=110 | SS=16
ACCENT,99023,7109,Iris Impact,E=12 | KX=15 | M=89 | SS=28
ACCENT,99033,7117,Iris Intrigue,B=22 | KX=18 | M=88 | SS=11
ACCENT,99034,7117 S2000,7117 S2000,B=28.5 | KX=23.5 | R=8.5 | V=78.5
ACCENT,99044,7125,Iris Evening,E=12 | KX=8 | M=96 | SS=20
ACCENT,99045,7125 S2000,7125 S2000,E=18 | KX=12 | R=15 | V=90
ACCENT,99055,7133,Isabella's Court,E=13 | KX=18 | M=130
ACCENT,99066,7141,Midnight Affair,B=48 | KX=19 | M=96
ACCENT,99075,7149,Royal Rajah,E=16 | KX=16 | L=16 | M=96
ACCENT,99083,7157,Iris Illusion,E=21 | KX=18 | M=105
ACCENT,99091,7165,Dark Triumph,B=7 | E=24 | KX=17 | M=96
ACCENT,99100,7173,Proud Tradition,E=16 | KX=16 | L=48 | M=64
ACCENT,99108,7181,Queen Victoria,B=60 | KX=24 | M=60
ACCENT,99116,7189,Royal Treatment,B=39 | E=13 | KX=19 | M=78
ACCENT,99124,7197,Rare Orchid,E=28 | KX=16 | L=15 | M=84
