COD,ARTIC,PR_CON_IVA,usa_tinto,tipo_tinto,base_tinto,base_fisica_tinto,factor_envase_tinto,ajuste_formula_tinto,factor_tinto,litros_reales,kilos_reales,unidad_detectada,confianza_tinto,regla_tinto,observacion_tinto
QUITA0001,QUITASARRO Y VERDIN MERCLIN,295.25,NO,,,,,,,,,,,,Sin base tintométrica detectada
EG01066001,RASPAVIDRIO,21819.92,NO,,,,,,,,,,,,Sin base tintométrica detectada
91821003,RECUBLOCK  ANTIHUMEDAD 1 LTS,56614.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
91821004,RECUBLOCK  ANTIHUMEDAD 4 LTS,183688.45,NO,,,,,,,,,,,,Sin base tintométrica detectada
86231003,RECUBLOCK 3 EN 1 (BLOQ DE MANCHAS) x 1 LT,34178.65,NO,,,,,,,,,,,,Sin base tintométrica detectada
86231004,RECUBLOCK 3 EN 1 (BLOQ DE MANCHAS) x 4 LT,115072.17,NO,,,,,,,,,,,,Sin base tintométrica detectada
86231006,RECUBLOCK 3EN1 (BLOQ. DE MANCHAS) x 10 LTS,278133.82,NO,,,,,,,,,,,,Sin base tintométrica detectada
91821006,RECUBLOCK ANTIHUMEDAD 10 LTS,432288.69,NO,,,,,,,,,,,,Sin base tintométrica detectada
60404105,RECUBLOCK CIMIENTOS 12 KGS,121487.07,NO,,,,,,,,,,,,Sin base tintométrica detectada
60404104,RECUBLOCK CIMIENTOS 5 KGS,48670.98,NO,,,,,,,,,,,,Sin base tintométrica detectada
60404114,RECUBLOCK CIMIENTOS BOLSA 5 KGS,52937.26,NO,,,,,,,,,,,,Sin base tintométrica detectada
84620003,RECUBRICK IMPERMEABILIZANTE 1 LT,22003.57,NO,,,,,,,,,,,,Sin base tintométrica detectada
84620006,RECUBRICK IMPERMEABILIZANTE 10 LTS,154592.96,NO,,,,,,,,,,,,Sin base tintométrica detectada
84620007,RECUBRICK IMPERMEABILIZANTE 20 LTS,283119.36,NO,,,,,,,,,,,,Sin base tintométrica detectada
84620004,RECUBRICK IMPERMEABILIZANTE 4 LTS,66244.46,NO,,,,,,,,,,,,Sin base tintométrica detectada
44140253,RECUBRICK LADRILLOS CERAMICO 1 LT,25929.21,NO,,,,,,,,,,,,Sin base tintométrica detectada
44140257,RECUBRICK LADRILLOS CERAMICO 20 LTS,353145.70,NO,,,,,,,,,,,,Sin base tintométrica detectada
44140254,RECUBRICK LADRILLOS CERAMICO 4 LTS,73737.94,NO,,,,,,,,,,,,Sin base tintométrica detectada
44140453,RECUBRICK LADRILLOS NATURAL 1 LT,24669.79,NO,,,,,,,,,,,,Sin base tintométrica detectada
44140457,RECUBRICK LADRILLOS NATURAL 20 LTS,353145.70,NO,,,,,,,,,,,,Sin base tintométrica detectada
